Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDF50,OUT018,2893.839826
FDG28,OUT035,4109.900606
NCE19,OUT017,935.0323883
NCM53,OUT010,281.4820818
NCN18,OUT049,1511.874772
FDF32,OUT035,3130.004905
FDF11,OUT013,4109.900606
DRI59,OUT049,3753.000099
NCG54,OUT035,2894.220711
FDM44,OUT046,1690.234086
FDT57,OUT018,3327.952583
FDV24,OUT046,2503.501336
FDI50,OUT019,584.7577648
FDS09,OUT035,713.8586545
NCC31,OUT027,4117.317713
FDQ07,OUT019,584.7577648
FDC22,OUT017,3391.591253
FDZ56,OUT046,2894.220711
FDZ40,OUT019,165.9185817
FDS46,OUT027,3242.062072
DRD24,OUT045,1827.832845
FDV45,OUT017,2939.348476
FDL26,OUT045,2894.220711
FDA56,OUT018,1752.25244
FDN27,OUT046,1922.149382
FDM20,OUT049,4109.900606
FDO16,OUT017,1481.850614
FDL03,OUT035,3130.004905
FDE58,OUT046,1922.149382
FDI02,OUT027,3242.062072
NCC55,OUT019,92.67548155
FDR03,OUT018,3327.952583
FDB14,OUT017,1424.59469
FDR45,OUT013,4109.900606
NCN07,OUT017,2243.669597
FDM51,OUT019,219.2185209
FDT52,OUT027,6280.89088
FDL26,OUT046,2660.950403
NCZ42,OUT046,4109.900606
DRI47,OUT019,346.8972837
FDW40,OUT013,2309.200798
FDN34,OUT046,2894.220711
FDS01,OUT035,2851.631696
NCG55,OUT045,1827.832845
FDC11,OUT035,1424.59469
FDX35,OUT018,3327.952583
NCB06,OUT046,2894.220711
FDR09,OUT019,584.7577648
FDC53,OUT017,1559.342975
FDY45,OUT013,4433.304033
FDA22,OUT010,425.9355915
FDE02,OUT035,1559.342975
FDW21,OUT045,1879.05405
FDV34,OUT046,1103.186213
FDS59,OUT049,1784.428738
NCW17,OUT017,2243.669597
NCK54,OUT046,1922.149382
FDG17,OUT019,584.7577648
FDG35,OUT017,3104.18983
FDD08,OUT010,92.67548155
NCO07,OUT017,3753.000099
FDJ10,OUT010,281.4820818
FDW36,OUT017,1511.874772
FDW21,OUT010,219.2185209
FDY19,OUT017,1922.149382
DRE03,OUT013,798.2176035
NCC55,OUT049,677.1027476
FDH52,OUT010,165.9185817
FDO09,OUT017,4034.300307
FDU43,OUT045,4109.900606
FDX09,OUT010,425.9355915
FDH40,OUT019,219.2185209
FDW58,OUT017,1690.234086
FDC47,OUT017,3737.295775
NCR41,OUT035,1559.342975
DRG49,OUT035,3737.295775
FDC52,OUT027,4117.317713
FDY13,OUT046,1103.186213
FDY35,OUT013,507.0464037
FDI35,OUT017,3384.108064
NCU18,OUT049,2309.200798
FDY33,OUT018,2232.847022
FDC15,OUT027,4117.317713
FDU01,OUT049,2752.970935
NCU42,OUT046,2649.110232
NCV29,OUT018,2851.631696
NCY30,OUT017,3384.108064
FDQ46,OUT049,1879.05405
FDG58,OUT027,4117.317713
FDK33,OUT017,3753.000099
NCD07,OUT045,1827.832845
NCX29,OUT027,4117.317713
NCT42,OUT013,2649.110232
DRN59,OUT035,798.2176035
FDI44,OUT035,1243.06893
FDA45,OUT049,2568.332834
FDP31,OUT045,1103.186213
FDY01,OUT046,1922.149382
FDT09,OUT018,1752.25244
DRH03,OUT027,2517.882088
FDA36,OUT018,2752.970935
NCF31,OUT017,2286.413267
FDG14,OUT049,2286.413267
FDG28,OUT027,6280.89088
FDU14,OUT049,4433.304033
FDY47,OUT019,281.4820818
FDI56,OUT049,1259.549051
DRD01,OUT013,796.6402683
FDM22,OUT046,935.0323883
FDH33,OUT013,507.0464037
DRZ24,OUT013,1922.149382
NCQ38,OUT046,1690.234086
FDO16,OUT027,2517.882088
FDU07,OUT027,4117.317713
NCB07,OUT013,2893.839826
FDU48,OUT045,1827.832845
NCM43,OUT045,2894.220711
FDR31,OUT010,346.8972837
DRK49,OUT018,507.0464037
NCI30,OUT010,584.7577648
DRD60,OUT017,3384.108064
NCG19,OUT046,3454.062559
FDH12,OUT035,1511.874772
FDM32,OUT035,1424.59469
FDM27,OUT035,2894.220711
NCU53,OUT027,4117.317713
NCQ18,OUT046,1559.342975
FDS10,OUT013,2568.332834
FDB33,OUT027,4117.317713
FDI12,OUT013,1424.59469
NCW42,OUT013,3753.000099
NCC06,OUT018,1752.25244
FDW02,OUT017,1987.251049
NCD43,OUT017,1690.234086
FDM57,OUT018,1259.549051
FDA58,OUT017,3737.295775
FDK56,OUT046,3384.108064
FDP52,OUT045,4109.900606
FDW20,OUT018,1752.25244
FDS52,OUT049,1690.234086
NCT29,OUT018,1752.25244
NCL54,OUT013,2851.631696
FDC05,OUT045,3130.004905
FDF34,OUT035,2752.970935
FDP03,OUT027,3242.062072
FDD32,OUT010,219.2185209
FDZ10,OUT045,1827.832845
FDZ40,OUT035,935.0323883
FDD51,OUT018,507.0464037
NCY30,OUT019,425.9355915
FDP58,OUT017,3737.295775
FDV49,OUT017,4433.304033
FDY24,OUT019,165.9185817
NCO55,OUT017,1511.874772
FDR13,OUT017,1922.149382
FDS51,OUT017,935.0323883
FDP26,OUT045,1879.05405
NCB54,OUT027,3242.062072
FDF32,OUT017,3130.004905
FDN31,OUT018,2893.839826
DRM48,OUT017,583.8145789
FDN20,OUT049,2453.747701
DRL01,OUT046,3454.062559
FDV56,OUT049,1784.428738
DRH13,OUT027,2517.882088
FDA03,OUT017,2453.747701
FDF47,OUT027,5329.314724
FDX32,OUT046,2660.950403
FDX57,OUT049,1559.342975
NCA30,OUT045,2939.348476
FDO49,OUT013,713.8586545
FDL04,OUT019,219.2185209
DRM48,OUT035,583.8145789
FDR16,OUT013,3454.062559
NCC19,OUT018,2893.839826
NCE42,OUT045,4109.900606
FDY24,OUT017,935.0323883
FDH19,OUT049,2568.332834
FDJ46,OUT013,2851.631696
FDN45,OUT010,584.7577648
FDY08,OUT035,2142.743571
FDZ37,OUT035,1481.850614
NCT30,OUT045,798.2176035
DRY23,OUT018,507.0464037
NCZ30,OUT018,1752.25244
FDC44,OUT018,1752.25244
FDB45,OUT035,1690.234086
FDY04,OUT013,2894.220711
FDM27,OUT046,2894.220711
FDZ43,OUT017,4109.900606
FDT39,OUT019,346.8972837
NCC06,OUT019,281.4820818
FDL15,OUT027,4117.317713
FDL57,OUT017,4034.300307
FDU08,OUT046,1559.342975
FDK40,OUT017,4433.304033
FDQ12,OUT010,584.7577648
FDS48,OUT017,2660.950403
FDP09,OUT045,3753.000099
FDW21,OUT049,1559.342975
FDY25,OUT035,3384.108064
DRE13,OUT017,1481.850614
FDV43,OUT019,92.67548155
FDD22,OUT045,1511.874772
FDM46,OUT019,219.2185209
NCO30,OUT010,482.6995426
FDM25,OUT046,2851.631696
NCN41,OUT049,1987.251049
FDU24,OUT045,1481.850614
FDZ50,OUT046,3384.108064
FDP45,OUT013,4034.300307
NCM54,OUT045,1827.832845
FDW10,OUT019,425.9355915
FDP20,OUT017,1987.251049
FDK32,OUT046,2660.950403
FDN52,OUT049,1259.549051
FDM58,OUT045,1784.428738
FDZ46,OUT027,3242.062072
NCA18,OUT018,1752.25244
FDD35,OUT046,2243.669597
NCK31,OUT035,713.8586545
FDI40,OUT027,2517.882088
FDT50,OUT019,219.2185209
NCT06,OUT046,2894.220711
FDT31,OUT035,2752.970935
FDT45,OUT049,796.6402683
FDT13,OUT045,2939.348476
FDO50,OUT045,1424.59469
NCU18,OUT010,281.4820818
NCR54,OUT049,3130.004905
NCO18,OUT018,2851.631696
FDU09,OUT045,935.0323883
FDT13,OUT018,2893.839826
FDE09,OUT046,1690.234086
NCK53,OUT019,219.2185209
FDG45,OUT049,3454.062559
DRH15,OUT035,677.1027476
FDO21,OUT019,584.7577648
FDD14,OUT027,5329.314724
FDC09,OUT046,1784.428738
FDH45,OUT027,1378.263185
FDV32,OUT046,1103.186213
FDG12,OUT035,2243.669597
FDS32,OUT013,2309.200798
NCL55,OUT018,3327.952583
DRE01,OUT035,3737.295775
DRE15,OUT049,1259.549051
NCL42,OUT045,4109.900606
FDP31,OUT013,1103.186213
FDN33,OUT018,1259.549051
FDZ59,OUT046,2503.501336
FDE45,OUT010,425.9355915
FDJ07,OUT013,1922.149382
FDQ45,OUT018,2752.970935
FDM33,OUT027,5329.314724
FDO15,OUT010,165.9185817
FDM46,OUT013,1481.850614
FDR03,OUT045,3753.000099
FDY49,OUT018,2232.847022
FDQ60,OUT045,1827.832845
FDW10,OUT049,2568.332834
FDO51,OUT049,677.1027476
FDJ40,OUT018,1372.688491
FDS20,OUT018,3384.108064
FDU45,OUT013,1922.149382
FDV02,OUT035,2894.220711
FDN09,OUT046,4109.900606
NCM55,OUT027,5329.314724
FDN23,OUT018,2232.847022
FDY31,OUT010,346.8972837
FDW03,OUT010,219.2185209
FDD14,OUT046,3384.108064
FDV23,OUT017,2142.743571
DRI03,OUT045,2851.631696
FDN13,OUT035,1559.342975
FDF45,OUT027,1378.263185
FDU46,OUT035,1424.59469
FDB57,OUT049,3753.000099
FDV12,OUT049,1559.342975
FDQ58,OUT013,2649.110232
NCA18,OUT017,1922.149382
FDH52,OUT049,796.6402683
FDM24,OUT018,2232.847022
NCP43,OUT027,5329.314724
NCO18,OUT019,425.9355915
FDM32,OUT017,1424.59469
NCL07,OUT017,583.8145789
FDK03,OUT013,4034.300307
FDP59,OUT017,1784.428738
FDQ24,OUT049,4433.304033
FDQ16,OUT018,1372.688491
FDU44,OUT013,2894.220711
FDH28,OUT010,92.67548155
FDV28,OUT019,92.67548155
FDM22,OUT045,935.0323883
FDR56,OUT046,3130.004905
FDV39,OUT049,2752.970935
FDU37,OUT019,165.9185817
FDQ11,OUT010,584.7577648
FDX02,OUT045,3753.000099
NCS42,OUT018,1259.549051
FDY57,OUT027,2517.882088
FDB21,OUT049,3454.062559
FDE28,OUT017,3737.295775
FDQ55,OUT017,1922.149382
FDA48,OUT049,3454.062559
FDZ19,OUT045,2851.631696
NCC43,OUT045,4034.300307
NCV18,OUT046,1481.850614
NCA42,OUT018,2232.847022
FDY45,OUT046,4433.304033
NCC30,OUT045,2568.332834
FDM57,OUT013,1243.06893
FDL09,OUT010,425.9355915
FDB09,OUT027,3242.062072
FDT44,OUT035,2142.743571
NCT06,OUT027,4117.317713
FDX26,OUT049,3384.108064
FDK32,OUT013,2660.950403
DRA12,OUT046,2309.200798
FDO46,OUT010,482.6995426
FDE52,OUT013,1424.59469
NCH42,OUT045,4109.900606
FDV08,OUT035,677.1027476
FDB47,OUT018,3327.952583
FDC28,OUT010,281.4820818
FDD22,OUT046,1922.149382
FDS07,OUT027,3242.062072
DRI13,OUT045,3753.000099
FDG32,OUT018,3327.952583
FDU14,OUT017,4433.304033
FDD28,OUT019,165.9185817
NCP41,OUT017,1690.234086
FDS08,OUT049,2851.631696
FDX47,OUT045,2286.413267
FDC53,OUT019,219.2185209
FDQ19,OUT035,4109.900606
FDL14,OUT045,2286.413267
FDM33,OUT019,584.7577648
FDA51,OUT045,1827.832845
FDZ27,OUT018,713.8586545
FDT04,OUT046,677.1027476
DRC13,OUT049,2243.669597
FDR16,OUT027,5329.314724
FDQ03,OUT027,6280.89088
FDE38,OUT035,2286.413267
DRH23,OUT027,1378.263185
FDT11,OUT019,482.6995426
FDD09,OUT035,2851.631696
FDR40,OUT045,1481.850614
FDX07,OUT017,3384.108064
FDR07,OUT035,1559.342975
FDA51,OUT017,1922.149382
FDT59,OUT019,584.7577648
FDF20,OUT017,3130.004905
FDR13,OUT045,1827.832845
FDY26,OUT049,3753.000099
FDW04,OUT017,1987.251049
FDK52,OUT017,3737.295775
FDN60,OUT049,2894.220711
FDM09,OUT019,425.9355915
FDP46,OUT049,1259.549051
FDB50,OUT019,165.9185817
NCQ29,OUT049,4034.300307
FDP16,OUT027,6280.89088
FDX33,OUT018,2232.847022
FDP07,OUT010,482.6995426
FDN22,OUT046,4034.300307
FDF39,OUT049,4034.300307
FDS21,OUT017,935.0323883
NCM42,OUT013,1879.05405
FDK50,OUT019,425.9355915
DRF13,OUT027,4117.317713
FDH35,OUT018,2232.847022
FDP60,OUT018,1372.688491
DRJ49,OUT027,3242.062072
NCT42,OUT019,346.8972837
FDE38,OUT049,2286.413267
FDI04,OUT049,3130.004905
NCH54,OUT045,2894.220711
FDT56,OUT049,796.6402683
DRD15,OUT018,3327.952583
FDV58,OUT013,2893.839826
FDP21,OUT049,3391.591253
FDH05,OUT013,3454.062559
FDR10,OUT027,4117.317713
NCP06,OUT045,2453.747701
FDF33,OUT049,1879.05405
DRK37,OUT013,2893.839826
DRH49,OUT045,1243.06893
FDT58,OUT013,2286.413267
FDD41,OUT018,1372.688491
FDP40,OUT018,1372.688491
FDM51,OUT027,2517.882088
FDO45,OUT010,219.2185209
FDW33,OUT010,219.2185209
FDY24,OUT045,935.0323883
FDB10,OUT010,584.7577648
FDM40,OUT035,2309.200798
NCI06,OUT017,3384.108064
FDW12,OUT019,346.8972837
FDX48,OUT027,4117.317713
NCW05,OUT027,2517.882088
FDX27,OUT017,1559.342975
DRM37,OUT045,3130.004905
FDA38,OUT045,4109.900606
FDR36,OUT046,677.1027476
FDZ45,OUT046,3130.004905
FDG05,OUT017,2286.413267
FDK28,OUT013,4433.304033
FDV47,OUT045,1424.59469
FDN21,OUT045,2453.747701
FDP20,OUT027,3242.062072
FDI35,OUT045,3384.108064
DRY23,OUT013,507.0464037
FDA56,OUT017,2243.669597
FDB09,OUT013,1987.251049
NCO26,OUT027,3242.062072
FDQ49,OUT018,2232.847022
FDI52,OUT027,3242.062072
FDZ44,OUT027,3242.062072
FDZ09,OUT018,2232.847022
FDY03,OUT049,1922.149382
NCG42,OUT017,1987.251049
DRI13,OUT027,5329.314724
FDQ32,OUT013,1987.251049
FDW16,OUT035,1424.59469
FDU27,OUT046,798.2176035
FDR28,OUT010,425.9355915
FDQ49,OUT010,346.8972837
FDS37,OUT046,1922.149382
FDW26,OUT018,3327.952583
FDX12,OUT018,3327.952583
NCP06,OUT013,2453.747701
FDW45,OUT010,346.8972837
NCN30,OUT049,1559.342975
FDN24,OUT049,796.6402683
NCL41,OUT027,1378.263185
FDR02,OUT019,281.4820818
FDD09,OUT010,425.9355915
FDS33,OUT010,219.2185209
FDU22,OUT045,1827.832845
FDI53,OUT013,2503.501336
DRH01,OUT049,2568.332834
FDX32,OUT013,2309.200798
NCP30,OUT018,507.0464037
FDB60,OUT045,3391.591253
FDB14,OUT049,1259.549051
NCP02,OUT035,935.0323883
FDJ10,OUT017,2309.200798
FDG34,OUT046,1784.428738
NCB18,OUT017,1424.59469
FDM16,OUT049,1103.186213
FDW25,OUT018,1259.549051
FDB35,OUT010,219.2185209
DRN11,OUT013,2309.200798
FDF41,OUT019,584.7577648
FDH16,OUT045,1424.59469
NCQ50,OUT018,3327.952583
DRH23,OUT018,796.6402683
DRJ37,OUT013,2286.413267
DRJ24,OUT027,5329.314724
FDY16,OUT035,3384.108064
FDQ27,OUT045,1879.05405
FDZ33,OUT045,2503.501336
FDF29,OUT045,1827.832845
FDA08,OUT049,2286.413267
FDG31,OUT046,1103.186213
FDE34,OUT019,482.6995426
NCR30,OUT027,1378.263185
FDV33,OUT035,4034.300307
DRZ24,OUT018,1752.25244
NCL54,OUT035,2851.631696
FDR12,OUT049,3104.18983
NCC54,OUT046,3454.062559
DRN59,OUT013,798.2176035
FDX50,OUT019,281.4820818
FDV31,OUT027,5329.314724
NCA29,OUT027,4117.317713
FDW60,OUT049,2851.631696
FDX08,OUT017,3384.108064
DRD49,OUT013,3454.062559
FDD33,OUT046,3454.062559
FDW35,OUT013,507.0464037
FDJ36,OUT017,1784.428738
FDV51,OUT035,2894.220711
FDW36,OUT046,1511.874772
FDH35,OUT046,2453.747701
NCS30,OUT027,3242.062072
FDN49,OUT017,677.1027476
FDL08,OUT018,3327.952583
FDI09,OUT013,3454.062559
FDP19,OUT018,1752.25244
FDU21,OUT010,92.67548155
NCP41,OUT045,1690.234086
FDY10,OUT013,1922.149382
FDP12,OUT018,507.0464037
NCN26,OUT049,1922.149382
FDK44,OUT013,2568.332834
FDC28,OUT049,1879.05405
FDJ41,OUT027,6280.89088
NCT29,OUT035,1987.251049
NCH42,OUT019,584.7577648
FDU60,OUT018,2232.847022
FDS02,OUT045,3391.591253
FDC51,OUT046,2243.669597
FDU03,OUT013,3384.108064
FDX39,OUT045,3753.000099
NCY05,OUT010,92.67548155
NCL06,OUT027,6280.89088
FDD32,OUT035,1243.06893
NCN41,OUT045,1827.832845
NCX53,OUT049,2309.200798
FDU57,OUT019,346.8972837
FDQ23,OUT046,1879.05405
FDQ52,OUT045,4433.304033
FDC14,OUT045,677.1027476
FDY09,OUT035,2568.332834
FDQ28,OUT045,2894.220711
FDV25,OUT046,3753.000099
FDJ07,OUT035,1922.149382
DRB25,OUT049,1511.874772
FDK52,OUT019,584.7577648
FDY52,OUT027,1378.263185
FDB28,OUT046,3391.591253
FDT36,OUT035,583.8145789
FDV25,OUT017,3753.000099
NCN07,OUT027,3242.062072
FDC57,OUT017,2939.348476
FDQ03,OUT018,3327.952583
FDU23,OUT017,2894.220711
NCX41,OUT035,3753.000099
NCD06,OUT035,798.2176035
FDW08,OUT045,1511.874772
NCU29,OUT017,2649.110232
NCE06,OUT013,2503.501336
FDV52,OUT010,281.4820818
FDB02,OUT017,2851.631696
NCR18,OUT045,677.1027476
FDK16,OUT049,1559.342975
NCQ29,OUT010,584.7577648
FDZ01,OUT019,219.2185209
FDW27,OUT035,2503.501336
FDD17,OUT018,3327.952583
FDW39,OUT013,2851.631696
DRH59,OUT045,1103.186213
FDS52,OUT013,1690.234086
FDU40,OUT027,5329.314724
NCF54,OUT013,2568.332834
FDH46,OUT045,1879.05405
NCP14,OUT049,1879.05405
FDH50,OUT049,3384.108064
DRF15,OUT010,346.8972837
FDV27,OUT027,2517.882088
NCJ06,OUT049,2243.669597
FDN02,OUT018,3327.952583
FDQ51,OUT049,798.2176035
FDQ07,OUT017,3737.295775
FDS45,OUT049,1879.05405
NCJ06,OUT045,1827.832845
FDD36,OUT035,1922.149382
FDY25,OUT045,3384.108064
FDU52,OUT046,2286.413267
DRK47,OUT017,3737.295775
NCL30,OUT017,1987.251049
FDN22,OUT035,4034.300307
NCF30,OUT027,3242.062072
FDK03,OUT035,4034.300307
FDT45,OUT017,935.0323883
NCC54,OUT027,6280.89088
FDP08,OUT018,2893.839826
FDU44,OUT046,2894.220711
DRG39,OUT035,935.0323883
FDU32,OUT049,2243.669597
FDY27,OUT049,2851.631696
NCP54,OUT013,2243.669597
NCZ41,OUT049,1987.251049
DRL49,OUT013,2309.200798
FDI05,OUT018,1259.549051
FDY56,OUT045,4109.900606
DRC13,OUT013,2243.669597
NCV29,OUT017,2851.631696
FDR24,OUT049,1259.549051
FDZ34,OUT018,2893.839826
FDP37,OUT035,2142.743571
FDX08,OUT027,5329.314724
FDS57,OUT045,1827.832845
NCG18,OUT049,1690.234086
FDK25,OUT018,2232.847022
FDH53,OUT049,1259.549051
DRI59,OUT018,3327.952583
FDA52,OUT046,2568.332834
FDT20,OUT010,92.67548155
FDE36,OUT019,425.9355915
FDI24,OUT017,2851.631696
FDB28,OUT018,2893.839826
FDV11,OUT017,2851.631696
FDP01,OUT046,2453.747701
FDD34,OUT027,4117.317713
FDJ50,OUT027,1378.263185
FDZ44,OUT013,1922.149382
DRO59,OUT035,1103.186213
DRB48,OUT045,677.1027476
FDR21,OUT018,2568.332834
NCE42,OUT010,584.7577648
FDO23,OUT046,1424.59469
NCE30,OUT018,3327.952583
FDQ22,OUT035,583.8145789
FDY01,OUT045,1827.832845
FDS08,OUT017,2851.631696
FDG28,OUT018,3327.952583
FDQ51,OUT018,798.2176035
FDB05,OUT017,4433.304033
FDO56,OUT049,1922.149382
FDE02,OUT018,1259.549051
FDN45,OUT017,3737.295775
FDS09,OUT013,713.8586545
NCA54,OUT018,3384.108064
FDP09,OUT010,584.7577648
FDC53,OUT045,1559.342975
NCM55,OUT017,2939.348476
FDL09,OUT018,2232.847022
FDA11,OUT019,219.2185209
FDA50,OUT045,1559.342975
FDC23,OUT017,2568.332834
FDE22,OUT049,2286.413267
FDD23,OUT046,3391.591253
NCA29,OUT049,3104.18983
FDK38,OUT046,2286.413267
DRC13,OUT046,2243.669597
NCP43,OUT049,2568.332834
FDX28,OUT049,1559.342975
FDF08,OUT049,1259.549051
FDZ33,OUT046,2503.501336
FDD10,OUT049,2568.332834
FDO58,OUT017,2453.747701
FDI50,OUT017,4109.900606
FDO58,OUT045,2453.747701
FDX08,OUT013,3384.108064
NCK17,OUT010,92.67548155
FDF39,OUT035,4034.300307
FDU45,OUT010,281.4820818
NCJ18,OUT018,1752.25244
DRC27,OUT019,584.7577648
DRC25,OUT035,1481.850614
FDU59,OUT035,2503.501336
FDU28,OUT035,2939.348476
NCP30,OUT046,677.1027476
FDB39,OUT018,796.6402683
FDE41,OUT013,1424.59469
DRH11,OUT010,165.9185817
FDA58,OUT045,3737.295775
FDU50,OUT046,1922.149382
FDM34,OUT013,1987.251049
FDM44,OUT027,2517.882088
FDR39,OUT045,3384.108064
FDM25,OUT045,2851.631696
FDQ49,OUT049,2453.747701
DRH25,OUT018,796.6402683
FDM09,OUT027,4117.317713
FDL44,OUT019,346.8972837
NCR42,OUT018,507.0464037
DRL59,OUT046,935.0323883
FDX43,OUT013,2286.413267
DRK47,OUT010,584.7577648
FDU48,OUT018,1752.25244
FDY12,OUT045,713.8586545
NCN43,OUT018,1752.25244
NCM55,OUT018,3384.108064
FDQ21,OUT027,3242.062072
FDX13,OUT035,4433.304033
NCK30,OUT027,6280.89088
FDG20,OUT049,2568.332834
DRG27,OUT017,677.1027476
FDY14,OUT018,3327.952583
FDP59,OUT035,1784.428738
FDU60,OUT017,2453.747701
NCC18,OUT019,425.9355915
DRJ39,OUT017,3753.000099
FDS07,OUT049,1922.149382
FDM08,OUT027,5329.314724
FDP51,OUT045,1827.832845
FDU16,OUT035,1243.06893
FDH12,OUT013,1511.874772
